const._no.,leading_candidate_2021,leading_party_2021,trailing_candidate_2021,trailing_party_2021,margin_2021,leading_candidate_2026,leading_party_2026,trailing_candidate_2026,trailing_party_2026,margin_2026,leading_party_2021_standard,trailing_party_2021_standard,leading_party_2026_standard,trailing_party_2026_standard,canonical_constituency_name,leading_coalition_2021,leading_coalition_2026,party_flip,coalition_flip,district_group,region,district,adj_deletions,asd_deletions,total_deletions,flip_to_bjp,deletions_exceed_margin,deletion_margin_ratio
1,Paresh Chandra Adhikary,AITC,Dadhiram Ray,BJP,14685,DADHIRAM RAY,Bharatiya Janata Party,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,29584,AITC,BJP,BJP,AITC,Mekliganj,Others,NDA,True,True,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,1,True,1.0391328584586816
2,Sushil Barman,BJP,Girindra Nath Barman,AITC,26134,NISHITH PRAMANIK,Bharatiya Janata Party,DR. SABLU BARMAN,All India Trinamool Congress,57090,BJP,AITC,BJP,AITC,Mathabhanga,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,False,0.5384779555901495
3,Sukumar Roy,BJP,Binay Krishna Barman,AITC,14615,SUKUMAR RAY,Bharatiya Janata Party,PARTHA PRATIM RAY,All India Trinamool Congress,70384,BJP,AITC,BJP,AITC,Cooch Behar Uttar,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,False,0.43677123330077344
4,Nikhil Ranjan Dey,BJP,Avijit De Bhowmik,AITC,4799,RATHINDRA BOSE,Bharatiya Janata Party,AVIJIT DE BHOWMIK,All India Trinamool Congress,23284,BJP,AITC,BJP,AITC,Cooch Behar Dakshin,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,True,1.320293183501187
5,Baren Chandra Barman,BJP,Partha Pratim Ray,AITC,17815,SABITRI BARMAN,Bharatiya Janata Party,HARIHAR DAS,All India Trinamool Congress,25278,BJP,AITC,BJP,AITC,Sitalkuchi,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,True,1.216144729988197
6,Jagadish Chandra Barma Basunia,AITC,Dipak Kumar Roy,BJP,10112,SANGITA ROY,All India Trinamool Congress,ASHUTOSH BARMA,Bharatiya Janata Party,2721,AITC,BJP,AITC,BJP,Sitai,Others,Others,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,True,11.297944316296082
7,Nisith Pramanik,BJP,Udayan Guha,AITC,57,AJAY RAY,Bharatiya Janata Party,UDAYAN GUHA,All India Trinamool Congress,17447,BJP,AITC,BJP,AITC,Dinhata,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,True,1.7620053008907914
8,Mihir Goswami,BJP,Rabindra Nath Ghosh,AITC,23440,GIRIJA SHANKAR RAY,Bharatiya Janata Party,SAILENDRA NATH BARMA,All India Trinamool Congress,34613,BJP,AITC,BJP,AITC,Natabari,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,False,0.8881549268957224
9,Malati Rava Roy,BJP,Pranab Kumar Dey,AITC,31198,MALATI RAVA ROY,Bharatiya Janata Party,SHIBSANKAR PAUL,All India Trinamool Congress,26457,BJP,AITC,BJP,AITC,Tufanganj,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,True,1.1619498236626087
10,Manoj Kumar Oraon,BJP,Leos Kujar,AITC,11001,MANOJ KUMAR ORAON,Bharatiya Janata Party,RAJEEV TIRKEY,All India Trinamool Congress,52877,BJP,AITC,BJP,AITC,Kumargram,NDA,NDA,False,False,Cooch Behar/Jalpaiguri,North Bengal,Cooch Behar,9240,21501.70648464164,30741.70648464164,0,False,0.5813814415462609
